I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
47.46143,0.95563,0.138828,-0.004121,1.7e-05,-1.038753,0.138379,0.990379,9.707564,0
-39.066261,-2.544456,-0.117658,-0.037144,0.00138,-4.33709,-0.117386,0.993077,9.401538,0
-40.485115,-2.660748,-0.116323,0.060001,0.0036,1.578774,-0.115948,0.993255,9.644743,0
-48.544044,-2.874156,-0.114483,0.005256,2.8e-05,-1.38431,-0.114216,0.993456,9.570256,0
-76.222801,-2.737556,-0.120072,-0.070884,0.005025,-0.321621,-0.119784,0.992784,9.856538,0
-84.89666,-2.1971,-0.127719,-0.097746,0.009554,-5.835624,-0.127372,0.99183,9.695,0
-87.131752,-1.74487,-0.140651,-0.183939,0.033834,-5.165754,-0.140187,0.990076,9.362948,0
-87.87925,-1.425066,-0.146759,0.029773,0.000886,-0.161421,-0.146199,0.989255,9.226539,0
-80.962196,-1.32722,-0.14573,-0.017105,0.000293,-1.085734,-0.145246,0.989396,9.602564,0
-66.234871,-1.451614,-0.146419,0.038266,0.001464,-0.46506,-0.145897,0.989317,10.375257,0
-47.09507,-1.932277,-0.136001,0.076636,0.005873,-0.631125,-0.13543,0.990787,9.986667,0
-34.691307,-1.97855,-0.132091,-0.030607,0.000937,-1.127297,-0.13178,0.991279,9.755128,0
-26.136307,-2.491062,-0.133179,0.022426,0.000503,4.857677,-0.132785,0.991152,10.027948,0
-21.610397,-2.390298,-0.129363,0.011669,0.000136,2.059586,-0.129003,0.991648,9.373717,0
-30.285561,-2.39688,-0.129556,-0.016811,0.000283,0.334836,-0.129194,0.991615,9.476026,0
-49.876808,-2.441444,-0.128285,0.054401,0.002959,-0.81221,-0.12788,0.99179,10.062051,0
-68.075645,-2.680349,-0.121284,0.054787,0.003002,-1.355928,-0.120882,0.992667,9.759615,0
-73.403053,-2.78582,-0.120278,-0.000937,1e-06,3.123638,-0.119992,0.992775,9.552307,0
-70.090675,-3.149633,-0.116744,0.058535,0.003426,2.723139,-0.116372,0.993206,9.388077,0
-66.517723,-3.15217,-0.112925,0.020567,0.000423,-1.322728,-0.112685,0.993635,9.953462,0
-70.82917,-3.282026,-0.110697,0.030747,0.000945,1.674421,-0.110402,0.993887,9.651923,0
-80.431686,-3.622863,-0.112771,-0.307142,0.094336,-201.697052,-0.112532,0.993631,9.86641,0
-82.584892,-2.773747,-0.12165,-0.045839,0.002101,3.598581,-0.12144,0.992599,10.055769,0
-82.197685,-3.243892,-0.121737,-0.081799,0.006691,-95.185295,-0.121404,0.992603,9.586411,0
-81.919594,-2.898802,-0.120159,0.018327,0.000336,-1.572362,-0.119871,0.992793,9.801795,0
-82.137436,-2.875163,-0.118143,-0.009191,8.4e-05,5.567831,-0.117868,0.993029,9.719231,0
-81.268921,-2.905799,-0.12022,0.007467,5.6e-05,95.081253,-0.119931,0.992783,9.581025,0
-79.881134,-3.401766,-0.126603,-0.097191,0.009446,-0.909962,-0.126265,0.99196,9.351282,0
-78.051918,-4.413334,-0.140079,-0.168428,0.028368,-2.901346,-0.139693,0.990195,9.686026,0
-81.268311,-3.943903,-0.139432,0.049505,0.002451,-0.620281,-0.138981,0.990309,10.170641,0
-92.032715,-3.949365,-0.139709,-0.050129,0.002513,-3.766283,-0.139255,0.990242,10.011795,0
-97.412903,-3.845521,-0.144172,-0.030119,0.000907,-1.418522,-0.143673,0.989615,9.59359,0
-92.934555,-3.786658,-0.147004,-0.030855,0.000952,2.060812,-0.146551,0.989203,9.801795,0
-81.192139,-3.738899,-0.147525,0.016226,0.000263,0.942306,-0.14699,0.989145,9.649231,0
-80.005585,-3.735709,-0.147386,0.017717,0.000314,-7.722311,-0.146823,0.989163,9.57923,0
-78.878494,-3.756825,-0.147244,0.031005,0.000961,4.254556,-0.146655,0.989188,9.587308,0
-77.740784,-3.753633,-0.14707,0.031922,0.001019,1.870457,-0.146471,0.989215,9.463461,0
-76.614807,-3.760365,-0.14684,0.037965,0.001441,-0.878318,-0.146244,0.989249,9.361154,0
-75.469162,-3.727962,-0.146662,0.02395,0.000574,-2.094838,-0.146083,0.989272,9.207692,0
-74.369202,-3.741728,-0.146471,0.029293,0.000858,-4.852765,-0.145894,0.9893,9.251666,0
-73.32312,-3.750854,-0.146289,0.034053,0.00116,2.033156,-0.145768,0.989328,9.321667,0
-72.270248,-3.734008,-0.146117,0.025843,0.000668,-2.78057,-0.145597,0.989351,9.174487,0
-71.267944,-3.729289,-0.145979,0.02137,0.000457,0.476678,-0.145423,0.98937,9.222051,0
-70.408386,-3.720803,-0.14589,0.014602,0.000213,-2.47255,-0.145343,0.989382,9.227436,0
-69.259491,-3.386878,-0.14572,0.104233,0.010865,94.863152,-0.145293,0.989389,9.288462,0
-68.334961,-3.708668,-0.145797,0.003039,9e-06,0.0267,-0.145281,0.989391,9.270513,0
-67.451965,-3.707738,-0.145804,-0.000211,0.0,2.059448,-0.145284,0.98939,9.343204,0
-66.601288,-3.719962,-0.145788,0.003182,1e-05,-2.071825,-0.145272,0.989393,9.363846,0
-65.797989,-3.72333,-0.145776,0.001841,3e-06,-98.009064,-0.14526,0.989393,9.339615,0
-65.080627,-3.712171,-0.145797,-0.00562,3.2e-05,-0.983827,-0.145281,0.98939,9.327051,0
-64.406967,-3.737169,-0.145794,0.002365,6e-06,0.259892,-0.145282,0.989391,9.456282,0
-63.809219,-3.722535,-0.145813,-0.004653,2.2e-05,-1.152981,-0.145316,0.989386,9.432051,0
-63.265427,-3.715228,-0.145884,-0.009918,9.8e-05,4.934779,-0.145367,0.989377,9.462564,0
-62.76355,-3.706618,-0.145914,-0.013849,0.000192,-3.3155,-0.145397,0.98937,9.402435,0
-62.355042,-3.737794,-0.145959,-0.002805,8e-06,-1.238827,-0.145442,0.989365,9.470641,0
-61.997452,-3.732867,-0.146006,-0.006102,3.7e-05,2.880473,-0.145488,0.989358,9.427564,0
-61.728607,-3.73312,-0.146043,-0.005808,3.4e-05,-2.367312,-0.145524,0.989352,9.357564,0
-61.563522,-13.732787,-0.146103,-0.007008,4.9e-05,0.682858,-0.145583,0.989344,9.335128,0
-61.40509,-3.728646,-0.146147,-0.009258,8.6e-05,0.002064,-0.145627,0.989338,9.433846,0
-61.346771,-3.746745,-0.146171,-0.000525,0.0,2.744083,-0.145651,0.989336,9.401538,0
-61.465103,-3.733266,-0.146182,-0.005676,3.2e-05,-3.360241,-0.14567,0.989333,9.410513,0
-61.563324,-3.730476,-0.146217,-0.008366,7e-05,1.046101,-0.145697,0.989328,9.442821,0
-61.726608,-3.758491,-0.146219,0.004514,2e-05,3.25016,-0.145698,0.989329,9.454487,0
-61.928818,-3.743776,-0.146227,-0.001997,4e-06,1.052553,-0.145707,0.989328,9.518205,0
-62.159775,-3.741333,-0.146221,-0.003337,1.1e-05,-1.19094,-0.1457,0.989328,9.56218,0
-62.479858,-3.746399,-0.146248,-0.00298,9e-06,4.77047,-0.145723,0.989325,9.476923,0
-62.788116,-3.749641,-0.146241,-0.00049,0.0,0.057748,-0.145721,0.989326,9.533462,0
-63.165558,-3.75911,-0.146228,0.003687,1.4e-05,-2.413076,-0.145703,0.989328,9.552307,0
-63.599762,-3.762838,-0.146202,0.005938,3.5e-05,-2.317943,-0.145682,0.989332,9.586411,0
-64.10965,-3.751212,-0.146188,0.000626,0.0,-3.051732,-0.145676,0.989332,9.615128,0
-64.54863,-3.746424,-0.146218,-0.002836,8e-06,3.131606,-0.145702,0.989329,9.718333,0
-65.076508,-3.752078,-0.146219,-0.000857,1e-06,0.894896,-0.145691,0.98933,9.72282,0
-65.612946,-3.762147,-0.146195,0.00329,1.1e-05,-0.543061,-0.145667,0.989334,9.735384,0
-66.209778,-3.756859,-0.14618,0.001404,2e-06,3.205022,-0.145645,0.989337,9.825128,0
-66.812317,-3.768066,-0.146141,0.005257,2.8e-05,0.679229,-0.145602,0.989343,9.791923,0
-67.455048,-3.789852,-0.146065,0.014636,0.000214,0.125149,-0.145546,0.989354,9.931026,0
-68.020126,-3.790178,-0.145999,0.01308,0.000171,-0.254836,-0.145458,0.989365,9.896026,0
-68.666595,-3.774076,-0.145935,0.005739,3.3e-05,-3.146034,-0.145391,0.989374,9.885256,0
-69.329071,-3.807213,-0.145826,0.019228,0.00037,-1.802092,-0.145283,0.98939,9.944487,0
-69.973419,-3.800444,-0.145738,0.016631,0.000277,0.787329,-0.145181,0.989405,9.965128,0
-70.634872,-3.821403,-0.145601,0.025006,0.000625,3.577127,-0.145064,0.989422,9.951667,0
-71.291046,-3.827517,-0.145436,0.025822,0.000667,-0.447099,-0.144871,0.989451,9.844872,0
-71.923157,-3.841042,-0.145262,0.031375,0.000984,0.960556,-0.144752,0.989477,9.738975,0
-72.510391,-3.835666,-0.145101,0.026915,0.000724,1.653044,-0.144524,0.989501,9.751538,0
