I0,I1,I2,I3,I4,I5,I6,I7,I8,new_col
6.727486,25.252783,1.181189,0.001915,4e-06,-7.345715,0.925058,0.379836,9.647436,1
6.61998,25.244457,1.180984,-0.00118,1e-06,3.424179,0.924981,0.379998,9.713846,1
6.542839,25.226946,1.181069,0.011002,0.000121,1.49748,0.925013,0.37992,9.774872,1
6.50959,25.251869,1.181133,-0.000851,1e-06,0.448668,0.925037,0.379884,9.738975,1
6.533554,25.243711,1.181159,0.003953,1.6e-05,-0.431245,0.925047,0.379861,9.756025,1
6.560921,25.204224,1.181006,0.044214,0.001955,-12.949068,0.924989,0.379909,9.85564,1
6.536621,25.203159,1.181293,0.020418,0.000417,-1.416934,0.925113,0.379685,9.715641,1
6.412445,25.222759,1.181191,0.013697,0.000188,2.264893,0.925074,0.379809,9.723718,1
6.609055,25.237959,1.181202,0.001674,3e-06,0.775538,0.925079,0.379807,9.758718,1
6.645218,25.289536,1.181281,-0.023285,0.000542,-8.076241,0.925078,0.379783,9.87,1
6.646309,25.285835,1.181317,0.003337,1.1e-05,-7.53948,0.925107,0.379713,9.875384,1
6.437202,25.213224,1.181095,0.02488,0.000619,7.84896,0.925038,0.379862,9.833205,1
6.596939,25.23103,1.181299,0.002999,9e-06,0.046423,0.9251,0.379716,9.665384,1
6.64373,25.266584,1.181249,-0.002642,7e-06,0.068581,0.925081,0.379778,9.76859,1
6.564186,25.263317,1.181253,-0.000473,0.0,2.981623,0.925083,0.379771,9.728205,1
6.680344,25.282457,1.181368,0.011754,0.000138,-7.355435,0.925126,0.379659,9.472436,1
6.530884,25.259935,1.181233,-0.004172,1.7e-05,5.751691,0.925075,0.379793,9.784743,1
6.515289,25.256636,1.181266,-0.001442,2e-06,-3.12426,0.925088,0.379752,9.732692,1
6.495628,25.247414,1.181229,0.009087,8.3e-05,1.219284,0.925074,0.379787,9.727307,1
6.627197,25.261995,1.181248,0.004167,1.7e-05,-2.298089,0.925065,0.37978,9.786538,1
6.646095,25.278059,1.181254,-0.003731,1.4e-05,2.291243,0.925083,0.379762,9.738077,1
6.705696,25.284359,1.181176,-0.006652,4.4e-05,-0.382801,0.925053,0.379835,9.777564,1
6.667114,25.275536,1.181154,-0.002947,9e-06,-3.028057,0.925045,0.379867,9.719231,1
6.591339,25.186949,1.180904,0.028595,0.000818,16.402102,0.92498,0.380005,9.742564,1
6.775894,25.260052,1.180919,0.022945,0.000526,14.381369,0.925002,0.379997,9.835,1
6.84536,25.268854,1.181123,0.002142,5e-06,2.848897,0.925049,0.379871,9.734487,1
6.905945,25.269962,1.181201,0.006132,3.8e-05,-4.628124,0.925063,0.379812,9.69141,1
6.808815,25.282328,1.181136,-0.000117,0.0,0.92047,0.925038,0.37988,9.836795,1
6.84922,25.28455,1.181137,0.000238,0.0,0.472318,0.925039,0.37987,9.721923,1
6.894691,25.294054,1.181097,-0.002754,8e-06,0.604337,0.925023,0.379918,9.808077,1
6.946625,25.275087,1.181063,0.003225,1e-05,2.160635,0.92501,0.379944,9.736281,1
6.860161,25.304161,1.181011,-0.003228,1e-05,0.204443,0.924991,0.379986,9.771282,1
6.846016,25.278215,1.181031,0.004979,2.5e-05,3.400872,0.924998,0.379962,9.743462,1
6.866959,25.299187,1.181056,-0.004867,2.4e-05,-4.291471,0.925008,0.379959,9.73,1
6.914368,25.278522,1.18106,0.00337,1.1e-05,-2.059454,0.925009,0.379945,9.720128,1
6.86882,25.275394,1.181065,0.004266,1.8e-05,3.204395,0.925011,0.379932,9.781154,1
6.864693,25.292576,1.181063,-0.00315,1e-05,0.954772,0.925011,0.379942,9.8,1
6.870071,25.286085,1.181057,-0.001559,2e-06,0.082613,0.925008,0.379948,9.710257,1
6.850311,25.289957,1.18105,-0.00048,0.0,1.297136,0.925005,0.379949,9.837692,1
6.822548,25.290663,1.181062,-0.00024,0.0,-1.545033,0.92501,0.379944,9.668974,1
6.810089,25.300707,1.181044,-0.004595,2.1e-05,0.479469,0.925003,0.379955,9.728205,1
6.842781,25.293646,1.181054,-0.003105,1e-05,-4.172597,0.925007,0.37996,9.782051,1
6.853989,25.285351,1.181042,0.003308,1.1e-05,2.358591,0.925018,0.379954,9.775769,1
6.850883,25.290888,1.181052,-0.00036,0.0,1.056621,0.924991,0.37996,9.75423,1
6.830994,25.294773,1.181027,0.000597,0.0,4.017201,0.924997,0.379973,9.697692,1
6.843224,25.284311,1.181028,0.004545,2.1e-05,2.430757,0.924997,0.379974,9.729102,1
6.866508,25.305769,1.181008,-0.005377,2.9e-05,2.669664,0.92499,0.379997,9.76859,1
6.869469,25.299818,1.181002,0.0,0.0,0.181198,0.924987,0.380001,9.766794,1
6.873253,25.295355,1.180986,-0.003376,1.1e-05,-0.802163,0.924981,0.380015,9.771282,1
6.859566,25.297009,1.180982,-0.001156,1e-06,-1.709383,0.924979,0.380021,9.794615,1
6.852402,25.287779,1.180979,-0.002161,5e-06,-1.233624,0.924978,0.380015,9.693205,1
6.884377,25.299709,1.180993,-0.002153,5e-06,-0.147796,0.924984,0.380008,9.720128,1
6.873085,25.286757,1.180971,0.000963,1e-06,7.288113,0.924976,0.380013,9.759615,1
6.859848,25.296242,1.180986,-0.003252,1.1e-05,-1.612536,0.924981,0.380013,9.692307,1
6.800453,25.274178,1.180991,0.002756,8e-06,1.438251,0.924983,0.380006,9.833205,1
6.826042,25.298018,1.180986,-0.002642,7e-06,-0.767075,0.924981,0.380013,9.712949,1
6.819481,31.61758,1.18099,-0.000586,0.0,-0.121512,0.924982,0.380012,9.762307,1
6.826675,25.311123,1.180977,-0.000718,1e-06,1.766975,0.924978,0.380023,9.781154,1
6.814926,25.296856,1.180975,0.000241,0.0,-1.048691,0.924977,0.380022,9.786538,1
6.80825,25.298737,1.180976,-0.001074,1e-06,-1.667638,0.924977,0.380023,9.701282,1
6.774124,25.299337,1.180971,-0.004569,2.1e-05,-3.175543,0.924976,0.38003,9.77218,1
6.789291,25.294174,1.180977,0.006463,4.2e-05,5.222488,0.924978,0.380025,9.734487,1
6.778374,25.28072,1.180977,0.005932,3.5e-05,1.772205,0.924978,0.380016,9.745256,1
6.785454,25.293728,1.180982,0.002653,7e-06,5.159152,0.92498,0.380003,9.756923,1
6.823517,25.305109,1.180988,-0.001082,1e-06,0.443881,0.924982,0.380014,9.73718,1
6.811356,25.293589,1.180989,-0.000954,1e-06,-2.0158,0.924982,0.38001,9.72282,1
6.784103,25.302166,1.181009,-0.003618,1.3e-05,-6.392815,0.924975,0.379997,9.784743,1
6.784431,25.305719,1.180991,-0.004433,2e-05,-0.788372,0.924983,0.380014,9.703974,1
6.807686,25.291048,1.181,0.003845,1.5e-05,0.24613,0.924987,0.380002,9.793717,1
6.842712,25.306067,1.180985,-0.002666,7e-06,1.423577,0.924981,0.380007,9.815256,1
6.824196,25.295933,1.181001,0.003353,1.1e-05,3.133491,0.924987,0.379999,9.771282,1
6.826401,25.293703,1.181,0.000834,1e-06,0.362925,0.924987,0.38,9.857435,1
6.846336,25.292482,1.181,-0.001309,2e-06,-1.307335,0.924987,0.380006,9.76859,1
6.855721,25.302383,1.180988,-0.000239,0.0,-0.003941,0.924982,0.38001,9.808974,1
6.889091,25.304895,1.18099,-0.00132,2e-06,0.804408,0.924983,0.38,9.793717,1
6.874405,25.295904,1.181016,-0.00024,0.0,-4.84286,0.924993,0.37998,9.73,1
6.844063,25.305828,1.181017,-0.008066,6.5e-05,-7.316064,0.924978,0.38,9.782948,1
